name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Ceremony,Singles (US format),New Order,33TIy7cQyLRaFqaoNlfKKT,2005-12-06,0,0.3,0.642,0.38,-9.477,1
Elegia - 2015 Remaster,Low-Life,New Order,2Xs7CP4Gw8wJ8qX8fkrCAB,1985-05-13,51,0.431,0.44,0.0384,-10.288,1
Vicious Streak,Get Ready,New Order,1MNBPXU7GJ0eIlAtzWYAI2,2001-06-18,32,0.662,0.468,0.421,-11.626,1
Doubts Even Here,Movement,New Order,3P5JPteLeFiwAmv2EzQpJF,1981-01-13,0,0.511,0.4,0.414,-17.664,1
The Him,Movement,New Order,0IUUFhNRhXB3HMsTQpA3xC,1981-01-13,0,0.312,0.689,0.338,-14.026,1
The Last Man on Earth,Blue Weekend,Wolf Alice,6z6Nd3M3D38XJMnkEC0GZh,2021-06-04,59,0.253,0.293,0.117,-8.544,1
No Hard Feelings,Blue Weekend,Wolf Alice,6eJaTm3sfYirbFpibBhnRO,2021-06-04,54,0.679,0.253,0.653,-13.777,1
How Can I Make It OK?,Blue Weekend,Wolf Alice,2vy48b6ad55AzooT8Mg2nY,2021-06-04,60,0.463,0.704,0.198,-5.264,1
Silk,My Love Is Cool,Wolf Alice,5VWtavZNYlK6m6MQY6YRg1,2015-06-22,55,0.514,0.414,0.231,-9.693,1
White Leather,My Love Is Cool (Deluxe Edition),Wolf Alice,57z2fiemiFjOkPBHtgCtOA,2016-02-05,44,0.732,0.355,0.255,-16.885,1
Delicious Things,Blue Weekend,Wolf Alice,6pAfAhSBOeNi5Tw8AfB5RQ,2021-06-04,59,0.467,0.5,0.279,-5.608,1
Your Loves Whore,My Love Is Cool,Wolf Alice,576lubCgnXbgRF7etHrFYy,2015-06-22,46,0.582,0.59,0.32,-6.981,1
Blush,My Love Is Cool (Deluxe Edition),Wolf Alice,1W5yUCcUuktqC5IWCYLSwf,2016-02-05,47,0.326,0.439,0.0875,-8.963,1
Heavenward,Visions Of A Life,Wolf Alice,72h0tXbdWtDs8fem7NFEhu,2017-09-29,43,0.11,0.692,0.07,-5.685,1
Lipstick On The Glass,Blue Weekend,Wolf Alice,0jGAm66ie0uOt7bYmXG64f,2021-06-04,56,0.298,0.636,0.193,-5.981,1
Giant Peach,My Love Is Cool,Wolf Alice,00rgPsaLJHuq1Qm7sdMHOD,2015-06-22,44,0.503,0.812,0.136,-7.829,1
"Song to the Siren - Recorded at Strongroom Studios, London",Spotify Singles,Wolf Alice,0hx6wJdPlMpT254F9UYQNu,2017-11-15,44,0.371,0.15,0.0785,-11.116,1
