name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Blue Monday,Substance,New Order,6hHc7Pks7wtBIW8Z6A0iFq,1987-08-17,73,0.762,0.651,0.941,-13.34,0
Bizarre Love Triangle,Brotherhood (Collector's Edition),New Order,6wVViUl2xSRoDK2T7dMZbR,1986-09-29,67,0.613,0.885,0.919,-7.463,0
World in Motion - 2011 Total Version,TOTAL,New Order,32M0ikSpg3bflPutVcVBlK,2011-06-03,30,0.607,0.941,0.731,-5.379,0
Age Of Consent,"Power, Corruption And Lies",New Order,4cctjbKxlDxTzAIpRon5tV,1983-05-02,0,0.361,0.768,0.876,-12.287,0
True Faith - 2011 Total Version,TOTAL,New Order,0E8IiKUfS98p3cUbQgh3yO,2011-06-03,45,0.611,0.938,0.903,-5.81,0
Regret,Republic,New Order,5k3MsMoJyYj36sMetmif1U,1993-05-03,0,0.504,0.966,0.742,-3.116,0
Ceremony,Singles (US format),New Order,33TIy7cQyLRaFqaoNlfKKT,2005-12-06,0,0.3,0.642,0.38,-9.477,1
Crystal,Get Ready,New Order,7JvTheiFwSaMFXFEbHnStK,2001-06-18,54,0.517,0.893,0.248,-5.028,0
"Temptation - 7"" Edit",Singles (US format),New Order,0u1hSt6Hauc2B7dnLXjHAW,2005-12-06,0,0.734,0.779,0.579,-9.819,0
Your Silent Face,"Power, Corruption And Lies",New Order,3LNkKavNccXFOagcao1twL,1983-05-02,0,0.647,0.738,0.819,-9.386,0
The Perfect Kiss,Singles (US format),New Order,5fQuS9Rr77SeFRllOgMMSg,2005-12-06,0,0.62,0.842,0.807,-6.325,0
Be a Rebel,Be a Rebel,New Order,7LdNsqjNoH1wnAY8uDXRIg,2020-09-08,35,0.523,0.929,0.721,-6.032,0
Restless,Music Complete,New Order,4yMAaPNlGMKNRO35hWBLtn,2015-09-25,38,0.511,0.962,0.701,-5.084,0
Dreams Never End,Movement,New Order,556B8ZjsxuI5jieKa0EM9d,1981-01-13,0,0.579,0.938,0.803,-6.609,0
Elegia - 2015 Remaster,Low-Life,New Order,2Xs7CP4Gw8wJ8qX8fkrCAB,1985-05-13,51,0.431,0.44,0.0384,-10.288,1
Plastic - Extended Mix,Complete Music,New Order,0VyeBj71jyEFUqcQBLXltf,2016-05-13,26,0.595,0.915,0.533,-8.309,0
Sub-culture - 2015 Remaster,Low-Life,New Order,6MfyyQoLMjlA6ptLb6OAje,1985-05-13,42,0.614,0.934,0.958,-6.214,0
Here To Stay - Radio Edit,Singles (US format),New Order,2sFiwvtiLJkPn5UkFk82n2,2005-12-06,0,0.531,0.962,0.569,-3.402,0
Californian Grass,Lost Sirens,New Order,0XHiwtTPEePAf1QdL00jcY,2013-01-11,26,0.496,0.783,0.611,-7.941,0
Chosen Time,Movement,New Order,1gbiDnWjRM08iTlPH6rgzt,1981-01-13,0,0.352,0.711,0.588,-14.304,0
I Told You So,Lost Sirens,New Order,3zq1Z2w02HklrNz0lvvZFG,2013-01-11,21,0.456,0.697,0.583,-8.113,0
Blue Monday '88,The Best of New Order,New Order,31MOjWj3CT3dCQsMV2b8Wu,1994-01-01,67,0.681,0.893,0.951,-8.485,0
Tutti frutti,Music Complete,New Order,3DJAKzCeFluwTi9twyHxGK,2015-09-25,40,0.662,0.776,0.91,-5.839,0
Someone like You,Get Ready,New Order,6lP6EA87OThyomihJ2XyYo,2001-06-18,36,0.487,0.928,0.836,-6.783,0
I'll Stay with You,Lost Sirens,New Order,6MpyaUgutthEieLdLtMmVr,2013-01-11,33,0.531,0.889,0.438,-7.02,0
Chosen Time - 2019 Remaster,Movement (Definitive; 2019 Remaster),New Order,3sGG9oTzMRsnmrUK5NTRxj,1981-11-13,27,0.349,0.848,0.53,-9.109,0
Hellbent,Lost Sirens,New Order,4fP98HNX43r5AI5yq890AX,2013-01-11,27,0.513,0.897,0.528,-6.613,0
Truth - 2019 Remaster,Movement (Definitive; 2019 Remaster),New Order,43kmIJUi5rBqtH3AVzxoH3,1981-11-13,25,0.546,0.797,0.801,-12.369,0
Icb,Movement,New Order,4RRB74ZXdRVjvrqnN3YlxB,1981-01-13,0,0.625,0.578,0.84,-13.714,0
Senses - 2019 Remaster,Movement (Definitive; 2019 Remaster),New Order,0U7UAnQZceMBtWnbGWVaSJ,1981-11-13,25,0.592,0.899,0.693,-9.173,0
I've Got a Feeling,Lost Sirens,New Order,1Z5vQkFWefQAwKFh8pUMXi,2013-01-11,21,0.597,0.693,0.598,-7.667,0
Vicious Streak,Get Ready,New Order,1MNBPXU7GJ0eIlAtzWYAI2,2001-06-18,32,0.662,0.468,0.421,-11.626,1
Procession,Singles (US format),New Order,5YIFcOL6Ca9OOqAX0USRC2,2005-12-06,0,0.261,0.971,0.265,-3.408,0
State Of The Nation - Edit,Singles (US format),New Order,5GOWYzxAoSYwmB5Lr5ZHXY,2005-12-06,0,0.569,0.965,0.596,-2.398,0
Truth,Movement,New Order,48pOdf6AD6zDtjU0LRdd5M,1981-01-13,0,0.536,0.749,0.813,-13.987,0
Thieves Like Us,Singles (US format),New Order,6iuezGvMpC5r391SZQEYJ0,2005-12-06,0,0.662,0.682,0.857,-6.484,0
Senses,Movement,New Order,5HQg0mrJlGp3li5qRRwiIC,1981-01-13,0,0.591,0.819,0.65,-14.29,0
Recoil,Lost Sirens,New Order,5XLOSBYkeqeoXmO3vWjyxi,2013-01-11,22,0.62,0.761,0.841,-9.903,0
Doubts Even Here,Movement,New Order,3P5JPteLeFiwAmv2EzQpJF,1981-01-13,0,0.511,0.4,0.414,-17.664,1
Dreams Never End - 2019 Remaster,Movement (Definitive; 2019 Remaster),New Order,1EAq2TeZf7lMvWpLz5GR91,1981-11-13,34,0.606,0.922,0.813,-7.509,0
Shellshock,Singles (US format),New Order,4te1Inpoo6cvbinDPSWuNY,2005-12-06,0,0.654,0.953,0.794,-7.955,0
People on the High Line,Music Complete,New Order,5y892rjWHkqAZQDBU3Bqb0,2015-09-25,31,0.582,0.883,0.836,-5.504,0
Denial,Movement,New Order,7CrstpMQA8Y3H3pF9IwoTb,1981-01-13,0,0.393,0.712,0.967,-14.465,0
Shake It Up,Lost Sirens,New Order,6myVJCbwJiiaAA67RPKRNx,2013-01-11,20,0.565,0.937,0.705,-7.359,0
Turn,Waiting for the Sirens' Call,New Order,7klbBB6VeJdEtSKn7OYyGN,2005-03-28,10,0.519,0.848,0.341,-4.324,0
Academic - Extended Mix,Complete Music,New Order,0rp0LgCK6BnYbEn1xj1qzH,2016-05-13,23,0.546,0.895,0.819,-6.691,0
The Him,Movement,New Order,0IUUFhNRhXB3HMsTQpA3xC,1981-01-13,0,0.312,0.689,0.338,-14.026,1
Ultraviolence - Live at MIF,"∑(No,12k,Lg,17Mif) New Order + Liam Gillick: So it goes..",New Order,4eeYzzq7ojrNsxOGRJ27hN,2019-07-12,19,0.624,0.952,0.966,-7.376,0
Sugarcane,Lost Sirens,New Order,6Wc5Igd6TP8J6NaCWs0Ubf,2013-01-11,24,0.635,0.791,0.95,-7.895,0
The Village,"Power, Corruption And Lies",New Order,5taYEqe5EStheJC58J8Qkk,1983-05-02,0,0.605,0.888,0.971,-12.406,0
The Last Man on Earth,Blue Weekend,Wolf Alice,6z6Nd3M3D38XJMnkEC0GZh,2021-06-04,59,0.253,0.293,0.117,-8.544,1
No Hard Feelings,Blue Weekend,Wolf Alice,6eJaTm3sfYirbFpibBhnRO,2021-06-04,54,0.679,0.253,0.653,-13.777,1
Don’t Delete The Kisses,Visions Of A Life,Wolf Alice,1LomCMl5wD3MPVlC6smUHe,2017-09-29,62,0.604,0.789,0.348,-6.259,0
Smile,Blue Weekend,Wolf Alice,0mjOx4zUlL5t4rF1xnrfvi,2021-06-04,62,0.368,0.769,0.378,-5.002,0
Bros,My Love Is Cool,Wolf Alice,2PIcAQiSOayFwJrfWc72Qc,2015-06-22,59,0.583,0.921,0.222,-8.383,0
Moaning Lisa Smile,My Love Is Cool (Deluxe Edition),Wolf Alice,37XsaGX7crh4YJKv6k946u,2016-02-05,51,0.47,0.806,0.339,-2.92,0
Beautifully Unconventional,Visions Of A Life,Wolf Alice,05I2kbWf5P3xdCVQve7apz,2017-09-29,51,0.745,0.837,0.662,-4.065,0
How Can I Make It OK?,Blue Weekend,Wolf Alice,2vy48b6ad55AzooT8Mg2nY,2021-06-04,60,0.463,0.704,0.198,-5.264,1
Silk,My Love Is Cool,Wolf Alice,5VWtavZNYlK6m6MQY6YRg1,2015-06-22,55,0.514,0.414,0.231,-9.693,1
White Leather,My Love Is Cool (Deluxe Edition),Wolf Alice,57z2fiemiFjOkPBHtgCtOA,2016-02-05,44,0.732,0.355,0.255,-16.885,1
Formidable Cool,Visions Of A Life,Wolf Alice,6MUmOqr4xP2fwgCjR2BTLn,2017-09-29,45,0.668,0.733,0.44,-5.379,0
Delicious Things,Blue Weekend,Wolf Alice,6pAfAhSBOeNi5Tw8AfB5RQ,2021-06-04,59,0.467,0.5,0.279,-5.608,1
Your Loves Whore,My Love Is Cool,Wolf Alice,576lubCgnXbgRF7etHrFYy,2015-06-22,46,0.582,0.59,0.32,-6.981,1
Blush,My Love Is Cool (Deluxe Edition),Wolf Alice,1W5yUCcUuktqC5IWCYLSwf,2016-02-05,47,0.326,0.439,0.0875,-8.963,1
Heavenward,Visions Of A Life,Wolf Alice,72h0tXbdWtDs8fem7NFEhu,2017-09-29,43,0.11,0.692,0.07,-5.685,1
Lipstick On The Glass,Blue Weekend,Wolf Alice,0jGAm66ie0uOt7bYmXG64f,2021-06-04,56,0.298,0.636,0.193,-5.981,1
Giant Peach,My Love Is Cool,Wolf Alice,00rgPsaLJHuq1Qm7sdMHOD,2015-06-22,44,0.503,0.812,0.136,-7.829,1
"Song to the Siren - Recorded at Strongroom Studios, London",Spotify Singles,Wolf Alice,0hx6wJdPlMpT254F9UYQNu,2017-11-15,44,0.371,0.15,0.0785,-11.116,1
Space & Time,Visions Of A Life,Wolf Alice,5LDMrFh5ZiqzUFLEVo7tjm,2017-09-29,43,0.298,0.638,0.215,-4.331,1
The Beach,Blue Weekend,Wolf Alice,7DPaVjS5QgtvhDTCp5xHOd,2021-06-04,53,0.698,0.351,0.281,-8.981,1
Freazy,My Love Is Cool,Wolf Alice,6YYU9JbeWnW4L5NY7hlLlw,2015-06-22,46,0.672,0.76,0.515,-7.867,0
Lisbon,My Love Is Cool (Deluxe Edition),Wolf Alice,2W51Xkmg24VOT7ZThWj5Ll,2016-02-05,40,0.51,0.819,0.319,-7.152,0
Yuk Foo,Visions Of A Life,Wolf Alice,6RExQcl7BFkVmUEo1zf6QW,2017-09-29,43,0.37,0.869,0.0847,-2.919,1
